id;sub_system;class;method;profile
1;Security;Person;createPerson;admin
2;Security;Profile;createProfile;admin
3;Security;Profile;assignProfileToUser;admin
4;Security;Profile;getProfileByName;admin
5;Inventory;Equipo;createEquipo;admin
6;Inventory;Equipo;getEquipoById;admin
7;Inventory;Equipo;getEquipoByCodigo;admin
8;Inventory;Equipo;getAllEquipos;admin
9;Inventory;Equipo;updateEquipo;admin
10;Inventory;Equipo;deleteEquipo;admin
11;Inventory;Ubicacion;createUbicacion;admin
12;Inventory;Ubicacion;getUbicacionById;admin
13;Inventory;Ubicacion;getUbicacionByNombre;admin
14;Inventory;Ubicacion;getAllUbicaciones;admin
15;Inventory;Ubicacion;updateUbicacion;admin
16;Inventory;Ubicacion;deleteUbicacion;admin
17;Inventory;EstadoEquipo;createEstadoEquipo;admin
18;Inventory;EstadoEquipo;getEstadoEquipoById;admin
19;Inventory;EstadoEquipo;getEstadoEquipoByNombre;admin
20;Inventory;EstadoEquipo;getAllEstadosEquipo;admin
21;Inventory;EstadoEquipo;updateEstadoEquipo;admin
22;Inventory;EstadoEquipo;deleteEstadoEquipo;admin
23;Loans;Prestamo;createPrestamo;admin
24;Loans;Prestamo;getPrestamoById;admin
25;Loans;Prestamo;getPrestamosByUsuario;admin
26;Loans;Prestamo;getPrestamosByEquipo;admin
27;Loans;Prestamo;getAllPrestamos;admin
28;Loans;Prestamo;getPrestamosActivos;admin
29;Loans;Prestamo;updatePrestamo;admin
30;Loans;Prestamo;deletePrestamo;admin
31;Users;Usuario;createUsuario;admin
32;Users;Usuario;getUsuarioById;admin
33;Users;Usuario;getUsuarioByEmail;admin
34;Users;Usuario;getAllUsuarios;admin
35;Users;Usuario;updateUsuario;admin
36;Users;Usuario;deleteUsuario;admin
37;Components;Componente;createComponente;admin
38;Components;Componente;getComponenteById;admin
39;Components;Componente;getComponenteByCodigo;admin
40;Components;Componente;getAllComponentes;admin
41;Components;Componente;getComponentesByCategoria;admin
42;Components;Componente;updateComponente;admin
43;Components;Componente;deleteComponente;admin
44;Returns;Devolucion;createDevolucion;admin
45;Returns;Devolucion;getDevolucionById;admin
46;Returns;Devolucion;getDevolucionesByUsuario;admin
47;Returns;Devolucion;getAllDevoluciones;admin
48;Returns;Devolucion;updateDevolucion;admin
49;Returns;Devolucion;deleteDevolucion;admin
50;Inventory;Inventario;createInventario;admin
51;Inventory;Inventario;getInventarioById;admin
52;Inventory;Inventario;getInventarioByUbicacion;admin
53;Inventory;Inventario;getInventarioByItem;admin
54;Inventory;Inventario;getAllInventario;admin
55;Inventory;Inventario;updateInventario;admin
56;Inventory;Inventario;deleteInventario;admin
57;Compensations;Compensacion;createCompensacion;admin
58;Compensations;Compensacion;getCompensacionById;admin
59;Compensations;Compensacion;getCompensacionesByUsuario;admin
60;Compensations;Compensacion;getAllCompensaciones;admin
61;Compensations;Compensacion;updateCompensacion;admin
62;Compensations;Compensacion;deleteCompensacion;admin
63;Notifications;Notificacion;createNotificacion;admin
64;Notifications;Notificacion;getNotificacionById;admin
65;Notifications;Notificacion;getNotificacionesByUsuario;admin
66;Notifications;Notificacion;getAllNotificaciones;admin
67;Notifications;Notificacion;markNotificacionAsRead;admin
68;Notifications;Notificacion;updateNotificacion;admin
69;Notifications;Notificacion;deleteNotificacion;admin
70;Audit;Auditoria;createAuditoria;admin
71;Audit;Auditoria;getAuditoriaById;admin
72;Audit;Auditoria;getAuditoriaByUsuario;admin
73;Audit;Auditoria;getAllAuditorias;admin
74;Audit;Auditoria;deleteAuditoria;admin
75;Academic;PeriodoAcademico;createPeriodoAcademico;admin
76;Academic;PeriodoAcademico;getPeriodoAcademicoById;admin
77;Academic;PeriodoAcademico;getAllPeriodosAcademicos;admin
78;Academic;PeriodoAcademico;getPeriodosAcademicosActivos;admin
79;Academic;PeriodoAcademico;updatePeriodoAcademico;admin
80;Academic;PeriodoAcademico;deletePeriodoAcademico;admin
81;Fuel;Vehiculo;createVehiculo;admin
82;Fuel;Vehiculo;getVehiculoById;admin
83;Fuel;Vehiculo;getAllVehiculos;admin
84;Fuel;Vehiculo;updateVehiculo;admin
85;Fuel;Carga;createCarga;admin
86;Fuel;Carga;getCargasByVehiculo;admin
87;Fuel;Carga;getAllCargas;admin
88;Fuel;Carga;updateCarga;admin
89;Fuel;Carga;deleteCarga;admin
90;Fuel;Vehiculo;deleteVehiculo;admin
91;Security;Person;getAllPersons;admin
92;Security;Person;getPersonById;admin
93;Security;Person;updatePerson;admin
94;Security;Person;deletePerson;admin
95;Security;Profile;getAllProfiles;admin
96;Security;Profile;getProfileById;admin
97;Security;Profile;updateProfile;admin
98;Security;Profile;deleteProfile;admin
99;Security;Profile;removeProfileFromUser;admin
100;Security;Profile;getProfilesByUser;admin
101;Security;Option;getAllOptions;admin
102;Security;Option;getOptionsByProfile;admin
103;Security;Option;assignOptionToProfile;admin
104;Security;Option;removeOptionFromProfile;admin
105;Fuel;Pesada;createPesada;admin
106;Fuel;Pesada;getPesadaById;admin
107;Fuel;Pesada;getAllPesada;admin
108;Fuel;Pesada;updatePesada;admin
109;Fuel;Pesada;deletePesada;admin
110;Fuel;Carga;getCargaById;admin
111;Fuel;Tanque;createTank;admin
112;Fuel;Tanque;getAllTanks;admin
113;Fuel;Tanque;getTankById;admin
114;Fuel;Tanque;updateTank;admin
115;Fuel;Tanque;deleteTank;admin
116;Fuel;Tanque;getMovementsByTank;admin
117;Fuel;Tanque;registerMovement;admin
118;Fuel;Reporte;getFuelSummary;admin
119;Tracker;Unidad;createUnidad;admin
120;Tracker;Unidad;getAllUnidades;admin
121;Tracker;Unidad;getUnidadById;admin
122;Tracker;Unidad;updateUnidad;admin
123;Tracker;Unidad;deleteUnidad;admin
124;Tracker;Snapshot;getLatestSnapshots;admin
125;Tracker;Snapshot;syncNow;admin
126;Tracker;Alerta;getRecentAlerts;admin
127;Tracker;Reporte;generarReporte;admin
128;Tracker;Archivo;archivarAhora;admin
129;Tracker;Comportamiento;getAnalisisDelDia;admin
130;Tracker;Notificador;notificarCierreDeTurno;admin
131;Tracker;Notificador;verificarAnexoSeguridad;admin
